tripdurationseconds,tripdurationminutes,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
555,9,9/1/17 0:09,9/1/17 0:18,281,Grand Army Plaza & Central Park S,40.7643971,-73.97371465,529,W 42 St & 8 Ave,40.7575699,-73.99098507,30083,Subscriber,NULL,Unknown
548,9,9/1/17 0:09,9/1/17 0:18,447,8 Ave & W 52 St,40.76370739,-73.9851615,3161,W 76 St & Columbus Ave,40.78018397,-73.97728533,30808,Subscriber,1992,Male
907,15,9/1/17 0:09,9/1/17 0:24,3383,Cathedral Pkwy & Broadway,40.804213,-73.96699104,3305,E 91 St & 2 Ave,40.7811223,-73.94965589,16175,Subscriber,1964,Female
772,13,9/1/17 0:09,9/1/17 0:22,3447,E 71 St & 1 Ave,40.76703432,-73.9562273,476,E 31 St & 3 Ave,40.74394314,-73.97966069,17852,Subscriber,1981,Male
1544,26,9/1/17 0:09,9/1/17 0:35,474,5 Ave & E 29 St,40.7451677,-73.98683077,3458,W 55 St & 6 Ave,40.76309387,-73.97835016,20526,Customer,NULL,Unknown
1319,22,9/1/17 0:09,9/1/17 0:31,380,W 4 St & 7 Ave S,40.73401143,-74.00293877,490,8 Ave & W 33 St,40.751551,-73.993934,18674,Subscriber,1983,Male
1535,26,9/1/17 0:10,9/1/17 0:35,474,5 Ave & E 29 St,40.7451677,-73.98683077,3458,W 55 St & 6 Ave,40.76309387,-73.97835016,19293,Customer,NULL,Unknown
1635,27,9/1/18 0:00,9/1/18 0:27,252,MacDougal St & Washington Sq,40.73226398,-73.99852205,366,Clinton Ave & Myrtle Ave,40.693261,-73.968896,25577,Subscriber,1980,Male
132,2,9/1/18 0:00,9/1/18 0:02,314,Cadman Plaza West & Montague St,40.69383,-73.990539,3242,Schermerhorn St & Court St,40.69102926,-73.99183363,34377,Subscriber,1969,Unknown
3337,56,9/1/18 0:00,9/1/18 0:55,3142,1 Ave & E 62 St,40.7612274,-73.96094022,3384,Smith St & 3 St,40.6787242,-73.99599099,30496,Subscriber,1975,Male
436,7,9/1/18 0:00,9/1/18 0:07,308,St James Pl & Oliver St,40.71307916,-73.99851193,3690,Park Pl & Church St,40.71334184,-74.00935516,28866,Subscriber,1984,Female
8457,141,9/1/18 0:00,9/1/18 2:21,345,W 13 St & 6 Ave,40.73649403,-73.99704374,380,W 4 St & 7 Ave S,40.73401143,-74.00293877,20943,Customer,1994,Male
3326,55,9/1/18 0:00,9/1/18 0:55,3142,1 Ave & E 62 St,40.7612274,-73.96094022,3384,Smith St & 3 St,40.6787242,-73.99599099,21693,Subscriber,1977,Female
233,4,9/1/18 0:00,9/1/18 0:04,3526,31 St & 23 Ave,40.7747878,-73.9125551,3532,Ditmars Blvd & 19 St,40.78145,-73.9183302,29789,Subscriber,1989,Male
285,5,9/1/18 0:00,9/1/18 0:05,358,Christopher St & Greenwich St,40.73291553,-74.00711384,405,Washington St & Gansevoort St,40.739323,-74.008119,32861,Subscriber,1991,Male
1127,19,9/1/18 0:00,9/1/18 0:19,285,Broadway & E 14 St,40.73454567,-73.99074142,405,Washington St & Gansevoort St,40.739323,-74.008119,25039,Subscriber,1982,Male
423,7,9/1/18 0:00,9/1/18 0:07,319,Fulton St & Broadway,40.711066,-74.009447,426,West St & Chambers St,40.71754834,-74.01322069,20508,Subscriber,1974,Female
327,5,9/1/18 0:00,9/1/18 0:06,3509,Lenox Ave & W 115 St,40.8011939,-73.9500739,3518,Lenox Ave & W 126 St,40.808442,-73.9452087,31497,Subscriber,1993,Male
541,9,9/1/18 0:00,9/1/18 0:09,3077,Stagg St & Union Ave,40.70877084,-73.95095259,3059,Pulaski St & Marcus Garvey Blvd,40.6933982,-73.939877,21632,Subscriber,1990,Male
535,9,9/1/18 0:01,9/1/18 0:10,500,Broadway & W 51 St,40.76228826,-73.98336183,493,W 45 St & 6 Ave,40.7568001,-73.98291153,21698,Customer,1971,Male
